lag                  	value                
0                    	1                    
1                    	0.735291477422259    
2                    	0.560179662408913    
3                    	0.477214859789319    
4                    	0.40904986990324     
5                    	0.361623472778206    
6                    	0.315616772232923    
7                    	0.254453819545621    
8                    	0.20553550446746     
9                    	0.174410671097548    
10                   	0.148931348942181    
11                   	0.126127089256073    
12                   	0.110699200408098    
13                   	0.098358593477698    
14                   	0.0824669492353628   
15                   	0.0655850393239125   
16                   	0.0523316796580729   
17                   	0.035583321063394    
18                   	0.0162181328075914   
19                   	-0.00388557562001505 
20                   	-0.0202588922242978  
21                   	-0.0342856802052459  
22                   	-0.0395374383634285  
23                   	-0.0427061311147074  
24                   	-0.0552966793386358  
25                   	-0.0614313181600787  
26                   	-0.0592493857835615  
27                   	-0.0620911525846435  
28                   	-0.0662483814577624  
29                   	-0.0688322674431604  
30                   	-0.065668946979874   
31                   	-0.0588305693260434  
32                   	-0.0662802393705287  
33                   	-0.0565615028644432  
34                   	-0.0518925156312506  
35                   	-0.0456339249564913  
36                   	-0.0380200218931469  
37                   	-0.0334684455504729  
38                   	-0.0323455444603252  
39                   	-0.0178978706817672  
40                   	-0.013018762631626   
41                   	-0.00474284036859467 
42                   	0.0244980705108286   
43                   	0.0458437764635443   
44                   	0.0670126551586627   
45                   	0.0937046306785108   
46                   	0.116483782991148    
47                   	0.118517644015071    
48                   	0.133396835922779    
49                   	0.135209418535993    
50                   	0.133323424282246    
51                   	0.132979561916162    
52                   	0.112451653738229    
53                   	0.0860768913350558   
54                   	0.0593353875480187   
55                   	0.0497697760426764   
56                   	0.0616479320306181   
57                   	0.0424636955700764   
58                   	0.0216060916689394   
59                   	0.00106668626769509  
60                   	-0.0147519929302071  
61                   	-0.0290591612477537  
62                   	-0.0312916546035342  
63                   	-0.0425102950252755  
64                   	-0.0493865881816945  
65                   	-0.0478129165662936  
66                   	-0.0572456260035155  
67                   	-0.0604947313319658  
68                   	-0.0539977294252886  
69                   	-0.0523372381398094  
70                   	-0.0484303848975902  
71                   	-0.0583662919980774  
72                   	-0.061754305251882   
73                   	-0.0533414344621038  
74                   	-0.0611924920060397  
75                   	-0.0573200910636001  
76                   	-0.0448511022928251  
77                   	-0.0397720154547846  
78                   	-0.0458158657087005  
79                   	-0.0397348799323857  
80                   	-0.0451760788528043  
81                   	-0.0409434256799205  
82                   	-0.0287555679839758  
83                   	-0.0267471018307159  
84                   	-0.0323862110368037  
85                   	-0.0328444287358174  
86                   	-0.0225406671239447  
87                   	-0.00846524320788036 
88                   	-0.00175812865473018 
89                   	0.00779776918187018  
90                   	0.023788483137133    
91                   	0.042626604133617    
92                   	0.0649845592823245   
93                   	0.0792061060553347   
94                   	0.109569734819773    
95                   	0.124350228784264    
96                   	0.125946255363005    
97                   	0.112193069060113    
98                   	0.0961073298348049   
99                   	0.0937871227802815   
100                  	0.0799822622408037   
101                  	0.0631503694905292   
102                  	0.0539438688661244   
103                  	0.0322136939502319   
104                  	0.0363019398796159   
105                  	0.0238851804087507   
106                  	0.0157814393110109   
107                  	0.0118308528919868   
108                  	0.00645591217063178  
109                  	-0.0156048570605511  
110                  	-0.0222192958774821  
111                  	-0.0308777450074361  
112                  	-0.0361221487838695  
113                  	-0.04639958789387    
114                  	-0.0488395647516631  
115                  	-0.0543719245177128  
116                  	-0.0676622867503877  
117                  	-0.0801291256195808  
118                  	-0.0910470240622937  
119                  	-0.0933458344950297  
120                  	-0.101332576526231   
121                  	-0.102584562277493   
122                  	-0.0971087394934545  
123                  	-0.0860676634248858  
124                  	-0.0757380368401362  
125                  	-0.0550812458715561  
126                  	-0.0527951836426987  
127                  	-0.0535675734347666  
128                  	-0.035573124254613   
129                  	-0.0262405804665333  
130                  	-0.0153429405571973  
131                  	-0.0144429206488111  
132                  	-0.0106484776277248  
133                  	-0.00419328297518684 
134                  	-0.00718187572131565 
135                  	0.00430644980091082  
136                  	0.0182782813467612   
137                  	0.0206626826441144   
138                  	0.0369473221232153   
139                  	0.0346228188569039   
140                  	0.0500507695922526   
141                  	0.0661587957205613   
142                  	0.0734145008896098   
143                  	0.0873224365170681   
144                  	0.0944656206849388   
145                  	0.0877119619914561   
146                  	0.0952010107106267   
147                  	0.103461480519938    
148                  	0.0949227529328528   
149                  	0.0778767810040339   
150                  	0.0613241975218107   
151                  	0.0416421770724383   
152                  	0.0433486061809831   
153                  	0.0313895852922843   
154                  	0.0231633305124631   
155                  	0.022310385953619    
156                  	0.0180319650040538   
157                  	0.0154783888358759   
158                  	0.010937978204311    
159                  	-0.0111213219849952  
160                  	-0.0199075591484399  
161                  	-0.0192701566341806  
162                  	-0.0278239478454532  
163                  	-0.0296292949165356  
164                  	-0.0297414729695463  
165                  	-0.0413263257211831  
166                  	-0.0557972513810703  
167                  	-0.057901512380516   
168                  	-0.0617682175150127  
169                  	-0.0623823823556285  
170                  	-0.0641164728055358  
171                  	-0.0699756199853419  
172                  	-0.067175928978593   
173                  	-0.0666705143804624  
174                  	-0.0706627557946833  
175                  	-0.05999547063159    
176                  	-0.049149676836452   
177                  	-0.0395225790242422  
178                  	-0.0292281547925715  
179                  	-0.0151299332043953  
180                  	-0.00786806342540079 
181                  	0.00997261828080759  
182                  	0.0245716145681787   
183                  	0.0234397400961641   
184                  	0.020313953624422    
185                  	0.0126713564420578   
186                  	0.0195898339979693   
187                  	0.0453700425871204   
188                  	0.0550145656541347   
