Datetime,value
2013/04/07 00:00:00,1958               
2013/04/07 00:30:00,2066               
2013/04/07 01:00:00,2046               
2013/04/07 01:30:00,2021               
2013/04/07 02:00:00,1991               
2013/04/07 02:30:00,2018               
2013/04/07 03:00:00,2055               
2013/04/07 03:30:00,1973               
2013/04/07 04:00:00,1951               
2013/04/07 04:30:00,2005               
2013/04/07 05:00:00,2007.5             
2013/04/07 05:30:00,1860               
2013/04/07 06:00:00,1795.5             
2013/04/07 06:30:00,1961               
2013/04/07 07:00:00,1971               
2013/04/07 07:30:00,3607.82960325534   
2013/04/07 08:00:00,3924.76602238047   
2013/04/07 08:30:00,3872.57884028484   
2013/04/07 09:00:00,3820.39165818922   
2013/04/07 09:30:00,3768.20447609359   
2013/04/07 10:00:00,3716.01729399797   
2013/04/07 10:30:00,3663.83011190234   
2013/04/07 11:00:00,3611.64292980671   
2013/04/07 11:30:00,3559.45574771109   
2013/04/07 12:00:00,3507.26856561546   
2013/04/07 12:30:00,3455.08138351984   
2013/04/07 13:00:00,3402.89420142421   
2013/04/07 13:30:00,3350.70701932859   
2013/04/07 14:00:00,3298.51983723296   
2013/04/07 14:30:00,3246.33265513733   
2013/04/07 15:00:00,3194.14547304171   
2013/04/07 15:30:00,3141.95829094608   
2013/04/07 16:00:00,3089.77110885046   
2013/04/07 16:30:00,3037.58392675483   
2013/04/07 17:00:00,2985.39674465921   
2013/04/07 17:30:00,2933.20956256358   
2013/04/07 18:00:00,2881.02238046796   
2013/04/07 18:30:00,2828.83519837233   
2013/04/07 19:00:00,2776.6480162767    
2013/04/07 19:30:00,2724.46083418108   
2013/04/07 20:00:00,2672.27365208545   
2013/04/07 20:30:00,2620.08646998983   
2013/04/07 21:00:00,2567.8992878942    
2013/04/07 21:30:00,2515.71210579858   
2013/04/07 22:00:00,2463.52492370295   
2013/04/07 22:30:00,2411.33774160732   
2013/04/07 23:00:00,2359.1505595117    
2013/04/07 23:30:00,2306.96337741607   
2013/04/08 00:00:00,2242               
2013/04/08 00:30:00,2279               
2013/04/08 01:00:00,2298               
2013/04/08 01:30:00,2273               
2013/04/08 02:00:00,2148               
2013/04/08 02:30:00,2045               
2013/04/08 03:00:00,2005               
2013/04/08 03:30:00,1912               
2013/04/08 04:00:00,1915               
2013/04/08 04:30:00,1850               
2013/04/08 05:00:00,1786               
2013/04/08 05:30:00,1815               
2013/04/08 06:00:00,1853               
2013/04/08 06:30:00,1792               
2013/04/08 07:00:00,1784               
2013/04/08 07:30:00,1798               
2013/04/08 08:00:00,1941.5             
2013/04/08 08:30:00,1914               
2013/04/08 09:00:00,1917               
2013/04/08 09:30:00,1957.75            
2013/04/08 10:00:00,1940.75            
2013/04/08 10:30:00,2123.5             
2013/04/08 11:00:00,2010               
2013/04/08 11:30:00,2087.0625          
2013/04/08 12:00:00,2138.4375          
2013/04/08 12:30:00,2479.75            
2013/04/08 13:00:00,2204.25            
2013/04/08 13:30:00,1992               
2013/04/08 14:00:00,1870               
2013/04/08 14:30:00,1775               
2013/04/08 15:00:00,1730               
2013/04/08 15:30:00,1893               
2013/04/08 16:00:00,2020.4             
2013/04/08 16:30:00,1935.1             
2013/04/08 17:00:00,1912               
2013/04/08 17:30:00,1988               
2013/04/08 18:00:00,1825               
