date,value
2013/4/14 0:00,65
2013/4/14 0:01,65
2013/4/14 0:02,65
2013/4/14 0:03,64
2013/4/14 0:04,64
2013/4/14 0:05,63
2013/4/14 0:06,64
2013/4/14 0:07,64
2013/4/14 0:08,63
2013/4/14 0:09,64
2013/4/14 0:10,63
2013/4/14 0:11,62
2013/4/14 0:12,63
2013/4/14 0:13,61
2013/4/14 0:14,62
2013/4/14 0:15,62
2013/4/14 0:16,62
2013/4/14 0:17,62
2013/4/14 0:18,61
2013/4/14 0:19,61
2013/4/14 0:20,62
2013/4/14 0:21,61
2013/4/14 0:22,61
2013/4/14 0:23,63
2013/4/14 0:24,61
2013/4/14 0:25,62
2013/4/14 0:26,63
2013/4/14 0:27,64
2013/4/14 0:28,62
2013/4/14 0:29,63
2013/4/14 0:30,63
2013/4/14 0:31,63
2013/4/14 0:32,64
2013/4/14 0:33,64
2013/4/14 0:34,64
2013/4/14 0:35,63
2013/4/14 0:36,64
2013/4/14 0:37,64
2013/4/14 0:38,64
2013/4/14 0:39,64
2013/4/14 0:40,64
2013/4/14 0:41,65
2013/4/14 0:42,65
2013/4/14 0:43,65
2013/4/14 0:44,63
2013/4/14 0:45,65
2013/4/14 0:46,65
2013/4/14 0:47,65
2013/4/14 0:48,66
2013/4/14 0:49,65
2013/4/14 0:50,65
2013/4/14 0:51,69
2013/4/14 0:52,70
2013/4/14 0:53,68
2013/4/14 0:54,67
2013/4/14 0:55,66
2013/4/14 0:56,66
2013/4/14 0:57,66
2013/4/14 0:58,67
2013/4/14 0:59,67
2013/4/14 1:00,66
2013/4/14 1:01,66
2013/4/14 1:02,66
2013/4/14 1:03,67
2013/4/14 1:04,66
2013/4/14 1:05,66
2013/4/14 1:06,66
2013/4/14 1:07,66
2013/4/14 1:08,66
2013/4/14 1:09,67
2013/4/14 1:10,67
2013/4/14 1:11,67
2013/4/14 1:12,67
2013/4/14 1:13,67
2013/4/14 1:14,67
2013/4/14 1:15,67
2013/4/14 1:16,67
2013/4/14 1:17,67
2013/4/14 1:18,67
2013/4/14 1:19,68
2013/4/14 1:20,68
2013/4/14 1:21,68
2013/4/14 1:22,75
2013/4/14 1:23,71
2013/4/14 1:24,69
2013/4/14 1:25,68
2013/4/14 1:26,67
2013/4/14 1:27,69
2013/4/14 1:28,68
2013/4/14 1:29,67
2013/4/14 1:30,66
2013/4/14 1:31,66
2013/4/14 1:32,64
2013/4/14 1:33,65
2013/4/14 1:34,65
2013/4/14 1:35,66
2013/4/14 1:36,64
2013/4/14 1:37,63
2013/4/14 1:38,65
2013/4/14 1:39,65
2013/4/14 1:40,64
2013/4/14 1:41,64
2013/4/14 1:42,64
2013/4/14 1:43,64
2013/4/14 1:44,63
2013/4/14 1:45,64
2013/4/14 1:46,64
2013/4/14 1:47,64
2013/4/14 1:48,64
2013/4/14 1:49,65
2013/4/14 1:50,64
2013/4/14 1:51,64
2013/4/14 1:52,64
2013/4/14 1:53,65
2013/4/14 1:54,66
2013/4/14 1:55,67
2013/4/14 1:56,65
2013/4/14 1:57,67
2013/4/14 1:58,66
2013/4/14 1:59,67
2013/4/14 2:00,67
2013/4/14 2:01,69
2013/4/14 2:02,71
2013/4/14 2:03,67
2013/4/14 2:04,67
2013/4/14 2:05,68
2013/4/14 2:06,65
2013/4/14 2:07,67
2013/4/14 2:08,66
2013/4/14 2:09,66
2013/4/14 2:10,64
2013/4/14 2:11,66
2013/4/14 2:12,64
2013/4/14 2:13,64
2013/4/14 2:14,63
2013/4/14 2:15,65
2013/4/14 2:16,64
2013/4/14 2:17,63
2013/4/14 2:18,64
2013/4/14 2:19,64
2013/4/14 2:20,64
2013/4/14 2:21,64
2013/4/14 2:22,64
2013/4/14 2:23,64
2013/4/14 2:24,64
2013/4/14 2:25,63
2013/4/14 2:26,64
2013/4/14 2:27,64
